Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.8257087378640777,0.8123480797277589,0.8219380226266602,0.8171149144254278,0.9020172467160796
Decision Tree,0.9992233009708738,0.9988530231033917,0.999508116084604,0.9991804622193083,0.9992375291166822
Random Forest,0.9989902912621359,0.9993436166721366,0.9985243482538121,0.9989338144837202,0.9999968664419991
KNN,0.9144854368932038,0.8833998158944462,0.9440891949499918,0.9127367837045256,0.9701823929174911
Gaussian Naive Bayes,0.8368155339805825,0.8077278325123153,0.8603049680275455,0.8331877729257642,0.9083450980893184
Support Vector Machine,0.9390291262135922,0.9212111604311984,0.9527791441219872,0.9367292657370839,0.9877263735534094
